"IMPORT OF HAZARDOUS WASTES AND OTHER WASTES IN 2007 
(as provided by Parties)",Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
,"Y17 ,Y34 ,Y21",Wastes resulting from the surface treatment of metals and plastics; Acidic solutions (or solids); Hexavalent chromium compounds,,8.0,H8,Corrosive,6.246,,US,D9,
,"Y17 ,Y34 ,Y26",Wastes resulting from the surface treatment of metals and plastics; Acidic solutions (or solids); Cadmium,,8.0,H8,Corrosive,0.171,,US,D9,
,"Y17 ,Y34 ,Y31",Wastes resulting from the surface treatment of metals and plastics; Acidic solutions (or solids); Lead,,8.0,H8,Corrosive,3.756,,US,D9,
,"Y17 ,Y35",Wastes resulting from the surface treatment of metals and plastics; Basic solutions (or solids),,8.0,H8,Corrosive,4.687,,US,D9,
,Y18,Residues arising from industrial waste-disposal operations,,5.1,H05.1,Oxidizing,5.7626,,US,D9,
,Y18,Residues arising from industrial waste-disposal operations,,5.1,H05.1,Oxidizing,18.94598,,US,D9,
,Y21,Hexavalent chromium compounds,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,4.334,,US,D9,
,Y21,Hexavalent chromium compounds,,6.1,H6.1,Toxic (Poisonous),5.155,,US,D9,
,Y21,Hexavalent chromium compounds,,6.1,H6.1,Toxic (Poisonous),24.929,,US,D9,
,Y21,Hexavalent chromium compounds,,,H13,Leachate,53633.186,,US,D9,
,"Y21 ,Y17",Hexavalent chromium compounds; Wastes resulting from the surface treatment of metals and plastics,,,H12,Ecotoxic,1.386,,US,D9,
,"Y21 ,Y23",Hexavalent chromium compounds; Zinc,,,H13,Leachate,0.322,,US,D9,
,"Y21 ,Y24 ,Y30",Hexavalent chromium compounds; Arsenic; Thallium,,,H13,Leachate,14.143,,CA,D9,
,"Y21 ,Y24 ,Y30",Hexavalent chromium compounds; Arsenic; Thallium,,,H13,Leachate,2554.478,,US,D9,
,"Y21 ,Y26 ,Y31",Hexavalent chromium compounds; Cadmium; Lead,,,H12,Ecotoxic,2.001,,US,D9,
,"Y21 ,Y31",Hexavalent chromium compounds; Lead,,,H13,Leachate,4.421,,US,D9,
,"Y21 ,Y31 ,Y26",Hexavalent chromium compounds; Lead; Cadmium,,,H13,Leachate,299.21,,US,D9,
,Y22,Copper,,,H12,Ecotoxic,602.19,,US,D9,
,"Y22 ,Y17",Copper; Wastes resulting from the surface treatment of metals and plastics,,,H12,Ecotoxic,1516.55,,US,D9,
,"Y22 ,Y23",Copper; Zinc,,,H12,Ecotoxic,0.197,,US,D9,
,"Y22 ,Y23",Copper; Zinc,,,H12,Ecotoxic,1722.318,,US,D9,
,"Y22 ,Y31 ,Y18",Copper; Lead; Residues arising from industrial waste-disposal operations,,,H13,Leachate,1.228,,US,D9,
,Y23,Zinc,,,H12,Ecotoxic,86.718,,US,D9,
,"Y23 ,Y17",Zinc; Wastes resulting from the surface treatment of metals and plastics,,,H12,Ecotoxic,16.239,,US,D9,
,"Y23 ,Y21 ,Y17",Zinc; Hexavalent chromium compounds; Wastes resulting from the surface treatment of metals and plastics,,,H12,Ecotoxic,5.661,,US,D9,
,Y24,Arsenic,,6.1,H6.1,Toxic (Poisonous),0.001,,US,D9,
,Y24,Arsenic,,6.1,H6.1,Toxic (Poisonous),0.127,,US,D9,
,Y25,Selenium,,,H13,Leachate,0.101,,US,D9,
,Y26,Cadmium,,,H13,Leachate,1.227,,US,D9,
,Y28,Tellurium,,,H13,Leachate,403.729,,US,D9,
,Y29,Mercury,,6.1,H6.1,Toxic (Poisonous),0.075,,US,D9,
,Y29,Mercury,,6.1,H6.1,Toxic (Poisonous),4.421,,US,D9,
,Y29,Mercury,,6.1,H6.1,Toxic (Poisonous),4.661,,US,D9,
,Y29,Mercury,,,H13,Leachate,5712.83,,US,D9,
,"Y29 ,Y24",Mercury; Arsenic,,6.1,"H6.1 ,H8",Toxic (Poisonous); Corrosive,10.814,,US,D9,
,"Y29 ,Y26 ,Y25",Mercury; Cadmium; Selenium,,,H13,Leachate,1033.63,,US,D9,
,"Y29 ,Y34",Mercury; Acidic solutions (or solids),,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),14.328,,US,D9,
,Y31,Lead,,,H13,Leachate,6118.078,,US,D9,
,"Y31 ,Y22 ,Y23",Lead; Copper; Zinc,,,H13,Leachate,79.56,,US,D9,
,"Y31 ,Y26 ,Y21 ,Y18",Lead; Cadmium; Hexavalent chromium compounds; Residues arising from industrial waste-disposal operations,,,H13,Leachate,0.13645,,US,D9,
,"Y31 ,Y29 ,Y26",Lead; Mercury; Cadmium,,6.1,H6.1,Toxic (Poisonous),19.186,,US,D9,
,"Y31 ,Y29 ,Y26",Lead; Mercury; Cadmium,,6.1,H6.1,Toxic (Poisonous),34.962,,US,D9,
,Y32,Inorganic fluorine compounds,,6.1,H6.1,Toxic (Poisonous),2.091,,US,D9,
,Y32,Inorganic fluorine compounds,,6.1,H6.1,Toxic (Poisonous),9.684,,US,D9,
,"Y32 ,Y20","Inorganic fluorine compounds; Beryllium, beryllium compounds",,,H13,Leachate,36.265,,US,D9,
,"Y32 ,Y22 ,Y23",Inorganic fluorine compounds; Copper; Zinc,,6.1,H6.1,Toxic (Poisonous),0.087,,US,D9,
,Y33,Inorganic cyanides,,6.1,"H6.1 ,H8",Toxic (Poisonous); Corrosive,0.952,,US,D9,
,Y33,Inorganic cyanides,,6.1,H6.1,Toxic (Poisonous),64.07,,US,D9,
,Y33,Inorganic cyanides,,6.1,H6.1,Toxic (Poisonous),112.487,,US,D9,
,Y33,Inorganic cyanides,,6.1,H6.1,Toxic (Poisonous),348.375,,US,D9,
,Y33,Inorganic cyanides,,6.1,"H6.1 ,H8",Toxic (Poisonous); Corrosive,435.535,,US,D9,
,"Y33 ,Y7",Inorganic cyanides; Wastes from heat treatment and tempering operations containing cyanides,,6.1,H6.1,Toxic (Poisonous),40.26,,US,D9,
,"Y33 ,Y17",Inorganic cyanides; Wastes resulting from the surface treatment of metals and plastics,,6.1,H6.1,Toxic (Poisonous),2.695,,US,D9,
,"Y33 ,Y17 ,Y22",Inorganic cyanides; Wastes resulting from the surface treatment of metals and plastics; Copper,,6.1,H6.1,Toxic (Poisonous),108.109,,US,D9,
,"Y33 ,Y17 ,Y22",Inorganic cyanides; Wastes resulting from the surface treatment of metals and plastics; Copper,,6.1,H6.1,Toxic (Poisonous),134.138,,US,D9,
,"Y33 ,Y17 ,Y35",Inorganic cyanides; Wastes resulting from the surface treatment of metals and plastics; Basic solutions (or solids),,6.1,"H6.1 ,H8",Toxic (Poisonous); Corrosive,2.2,,US,D9,
,"Y33 ,Y22 ,Y23",Inorganic cyanides; Copper; Zinc,,6.1,H6.1,Toxic (Poisonous),0.247,,US,D9,
,"Y33 ,Y22 ,Y23",Inorganic cyanides; Copper; Zinc,,6.1,H6.1,Toxic (Poisonous),1.247,,US,D9,
,"Y33 ,Y23",Inorganic cyanides; Zinc,,6.1,H6.1,Toxic (Poisonous),10.688,,US,D9,
,"Y33 ,Y24",Inorganic cyanides; Arsenic,,6.1,H6.1,Toxic (Poisonous),108.614,,US,D9,
,"Y33 ,Y24",Inorganic cyanides; Arsenic,,6.1,H6.1,Toxic (Poisonous),168.675,,US,D9,
,"Y33 ,Y35",Inorganic cyanides; Basic solutions (or solids),,6.1,H6.1,Toxic (Poisonous),15.92,,US,D9,
,"Y33 ,Y35",Inorganic cyanides; Basic solutions (or solids),,6.1,"H6.1 ,H8",Toxic (Poisonous); Corrosive,366.74,,US,D9,
,"Y33 ,Y35 ,Y17 ,Y22",Inorganic cyanides; Basic solutions (or solids); Wastes resulting from the surface treatment of metals and plastics; Copper,,6.1,H6.1,Toxic (Poisonous),2.665,,US,D9,
,"Y33 ,Y35 ,Y17 ,Y22",Inorganic cyanides; Basic solutions (or solids); Wastes resulting from the surface treatment of metals and plastics; Copper,,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),4.339,,US,D9,
,"Y33 ,Y35 ,Y17 ,Y22",Inorganic cyanides; Basic solutions (or solids); Wastes resulting from the surface treatment of metals and plastics; Copper,,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),332.43,,US,D9,
,"Y33 ,Y39","Inorganic cyanides; Phenols, phenol compounds, including chlorophenols",,,H13,Leachate,42.872,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,0.036,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,"H8 ,H05.1",Corrosive; Oxidizing,0.035,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,0.622,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,0.721,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,0.875,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,"H8 ,H05.1",Corrosive; Oxidizing,1.114,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,1.025,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),1.006,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,"H8 ,H05.1",Corrosive; Oxidizing,1.465,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,4.814,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,5.051,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,6.502,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,13.826,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),28.955,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,33.172,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,"H8 ,H05.1",Corrosive; Oxidizing,116.58,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,141.015,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),752.927,,US,D9,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,2498.04,,US,D9,
,"Y34 ,Y18",Acidic solutions (or solids); Residues arising from industrial waste-disposal operations,,8.0,"H8 ,H05.1",Corrosive; Oxidizing,0.036,,US,D9,
,"Y34 ,Y18",Acidic solutions (or solids); Residues arising from industrial waste-disposal operations,,8.0,H8,Corrosive,19.906,,US,D9,
,"Y34 ,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,,8.0,H8,Corrosive,0.351,,US,D9,
,"Y34 ,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,,8.0,"H8 ,H05.1",Corrosive; Oxidizing,0.67,,US,D9,
,"Y34 ,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,,8.0,"H8 ,H05.1",Corrosive; Oxidizing,1.365,,US,D9,
,"Y34 ,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,2.487,,US,D9,
,"Y34 ,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,8.77,,US,D9,
,"Y34 ,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,,8.0,H8,Corrosive,22.162,,US,D9,
,"Y34 ,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,,8.0,H8,Corrosive,111.11,,US,D9,
,"Y34 ,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,,8.0,H8,Corrosive,177.805,,US,D9,
,"Y34 ,Y21 ,Y26",Acidic solutions (or solids); Hexavalent chromium compounds; Cadmium,,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),112.843,,US,D9,
,"Y34 ,Y22",Acidic solutions (or solids); Copper,,8.0,H8,Corrosive,0.869,,US,D9,
,"Y34 ,Y22",Acidic solutions (or solids); Copper,,8.0,H8,Corrosive,1.117,,US,D9,
,"Y34 ,Y31",Acidic solutions (or solids); Lead,,8.0,H8,Corrosive,1.25,,US,D9,
,"Y34 ,Y31",Acidic solutions (or solids); Lead,,8.0,H8,Corrosive,16.9,,US,D9,
,"Y34 ,Y32",Acidic solutions (or solids); Inorganic fluorine compounds,,8.0,H8,Corrosive,4.263,,US,D9,
,"Y34 ,Y32 ,Y21",Acidic solutions (or solids); Inorganic fluorine compounds; Hexavalent chromium compounds,,8.0,"H8 ,H05.1",Corrosive; Oxidizing,1.079,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.002,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.072,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.075,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.212,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.551,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.53,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.821,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,1.103,,US,D9,
,Y35,Basic solutions (or solids),,8.0,"H8 ,H05.1",Corrosive; Oxidizing,2.02,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,2.903,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,6.338,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,7.683,,US,D9,
,Y35,Basic solutions (or solids),,8.0,"H8 ,H05.1",Corrosive; Oxidizing,12.536,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,20.944,,US,D9,
,Y35,Basic solutions (or solids),,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),43.844,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,249.614,,US,D9,
,Y35,Basic solutions (or solids),,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),245.836,,US,D9,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,584.676,,US,D9,
,"Y35 ,Y17",Basic solutions (or solids); Wastes resulting from the surface treatment of metals and plastics,,8.0,H8,Corrosive,0.434,,US,D9,
,"Y35 ,Y18",Basic solutions (or solids); Residues arising from industrial waste-disposal operations,,8.0,H8,Corrosive,16.008,,US,D9,
,"Y35 ,Y21",Basic solutions (or solids); Hexavalent chromium compounds,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,1.179,,US,D9,
,"Y35 ,Y21",Basic solutions (or solids); Hexavalent chromium compounds,,8.0,"H8 ,H05.1",Corrosive; Oxidizing,2.14,,US,D9,
,"Y35 ,Y21",Basic solutions (or solids); Hexavalent chromium compounds,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,3.624,,US,D9,
,"Y35 ,Y21",Basic solutions (or solids); Hexavalent chromium compounds,,8.0,H8,Corrosive,4.088,,US,D9,
,"Y35 ,Y21",Basic solutions (or solids); Hexavalent chromium compounds,,8.0,H8,Corrosive,5.681,,US,D9,
,"Y35 ,Y29",Basic solutions (or solids); Mercury,,6.1,H6.1,Toxic (Poisonous),0.148,,US,D9,
,"Y35 ,Y31 ,Y21",Basic solutions (or solids); Lead; Hexavalent chromium compounds,,6.1,"H6.1 ,H8",Toxic (Poisonous); Corrosive,206.756,,US,D9,
,"Y35 ,Y33",Basic solutions (or solids); Inorganic cyanides,,6.1,H6.1,Toxic (Poisonous),12.147,,US,D9,
,"Y36, Y27",Asbestos (dust and fibres); Antimony,,,H11.0,,24.359,,US,D9,
,Y39,"Phenols, phenol compounds, including chlorophenols",,6.1,H6.1,Toxic (Poisonous),0.288,,US,D9,
,Y39,"Phenols, phenol compounds, including chlorophenols",,6.1,H6.1,Toxic (Poisonous),1.323,,US,D9,
,Y39,"Phenols, phenol compounds, including chlorophenols",,,H12,Ecotoxic,3.71,,US,D9,
,Y39,"Phenols, phenol compounds, including chlorophenols",,6.1,H6.1,Toxic (Poisonous),11.006,,US,D9,
,"Y41 ,Y42",Halogenated organic solvents; Organic solvents,,,H12,Ecotoxic,2.211,,US,D9,
,"Y41 ,Y42",Halogenated organic solvents; Organic solvents,,,H12,Ecotoxic,4368.401,,US,D9,
,"Y42 ,Y31",Organic solvents; Lead,,,H12,Ecotoxic,1213.28,,US,D9,
,Y_,Other,,,H12,Ecotoxic,5.639,,US,D9,
,Y_,Other,,4.2,H04.2,Spontaneous Combustion,1.088,,US,D9,
,Y_,Other,,4.3,H04.3,Flammable Gases in contact with water,0.212,,US,D9,
,Y_,Other,,5.1,H05.1,Oxidizing,352.757,,US,D9,
,Y_,Other,,5.1,H05.1,Oxidizing,0.004,,US,D9,
,Y_,Other,,5.1,"H05.1 ,H6.1",Oxidizing; Toxic (Poisonous),0.431,,US,D9,
,Y_,Other,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,42.012,,US,D9,
,Y_,Other,,5.1,"H05.1 ,H6.1",Oxidizing; Toxic (Poisonous),11.773,,US,D9,
,Y_,Other,,5.1,"H05.1 ,H6.1",Oxidizing; Toxic (Poisonous),0.228,,US,D9,
,Y_,Other,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,307.402,,US,D9,
,Y_,Other,,5.1,"H05.1 ,H6.1",Oxidizing; Toxic (Poisonous),17.883,,US,D9,
,Y_,Other,,5.1,H05.1,Oxidizing,187.03900000000002,,US,D9,
,Y_,Other,,5.1,H05.1,Oxidizing,15.431,,US,D9,
,Y_,Other,,9.0,H_,Miscellaneous waste dangerous,332.42,,US,D9,
,Y4,"Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",,,H12,Ecotoxic,14.63,,US,D10,
,"Y4 ,Y41 ,Y42","Wastes from the production, formulation, and use of biocides and phytopharmaceuticals; Halogenated organic solvents; Organic solvents",,3.0,H03.0,Flammable Liquids,537.86,,US,D10,
,"Y21 ,Y26 ,Y24",Hexavalent chromium compounds; Cadmium; Arsenic,,,H13,Leachate,20.9,,US,D10,
,"Y25 ,Y23 ,Y22",Selenium; Zinc; Copper,,,H13,Leachate,49.9,,US,D10,
,Y31,Lead,,,H13,Leachate,20.536,,US,D10,
,"Y34 ,Y26 ,Y31",Acidic solutions (or solids); Cadmium; Lead,,8.0,H8,Corrosive,15.14,,US,D10,
,"Y34 ,Y31 ,Y26",Acidic solutions (or solids); Lead; Cadmium,,8.0,H8,Corrosive,14.02,,US,D10,
,"Y35 ,Y31",Basic solutions (or solids); Lead,,8.0,H8,Corrosive,18.59,,US,D10,
,"Y35 ,Y33",Basic solutions (or solids); Inorganic cyanides,,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),264.19,,US,D10,
,"Y35 ,Y33 ,Y31",Basic solutions (or solids); Inorganic cyanides; Lead,,8.0,H8,Corrosive,19.75,,US,D10,
,"Y39 ,Y37","Phenols, phenol compounds, including chlorophenols; Organic phosphorous compounds",,6.1,H6.1,Toxic (Poisonous),10.05,,US,D10,
,"Y39 ,Y41","Phenols, phenol compounds, including chlorophenols; Halogenated organic solvents",,3.0,"H03.0 ,H6.1",Flammable Liquids; Toxic (Poisonous),385.54,,US,D10,
,"Y41 ,Y42",Halogenated organic solvents; Organic solvents,,,H12,Ecotoxic,10172.041,,US,D10,
,"Y41 ,Y42 ,Y6",Halogenated organic solvents; Organic solvents; Wastes from the production and use of organic solvents,,3.0,H03.0,Flammable Liquids,6960.763,,US,D10,
,"Y41 ,Y42 ,Y9",Halogenated organic solvents; Organic solvents; Waste oil;  water,,3.0,H03.0,Flammable Liquids,28.92,,US,D10,
,"Y41 ,Y42 ,Y34 ,Y9",Halogenated organic solvents; Organic solvents; Acidic solutions (or solids); Waste oil;  water,,3.0,"H03.0 ,H8",Flammable Liquids; Corrosive,2698.72,,US,D10,
,"Y41 ,Y42 ,Y35 ,Y9",Halogenated organic solvents; Organic solvents; Basic solutions (or solids); Waste oil;  water,,3.0,"H03.0 ,H8",Flammable Liquids; Corrosive,86.92,,US,D10,
,"Y41 ,Y42 ,Y35 ,Y9",Halogenated organic solvents; Organic solvents; Basic solutions (or solids); Waste oil;  water,,3.0,"H03.0 ,H6.1",Flammable Liquids; Toxic (Poisonous),672.62,,US,D10,
,Y42,Organic solvents,,3.0,"H03.0 ,H6.1",Flammable Liquids; Toxic (Poisonous),239.599,,US,D10,
,Y42,Organic solvents,,3.0,H03.0,Flammable Liquids,1123.755,,US,D10,
,"Y42 ,Y6",Organic solvents; Wastes from the production and use of organic solvents,,3.0,H03.0,Flammable Liquids,3058.492,,US,D10,
,"Y43 ,Y39 ,Y5","Any congenor of polychlorinated dibenzo-furan; Phenols, phenol compounds, including chlorophenols; Wastes from the manufacture and use of wood-preserving chemicals",,,H12,Ecotoxic,299.3,,US,D10,
,"Y44 ,Y39","Any congenor of polychlorinated dibenzo-p-dioxin; Phenols, phenol compounds, including chlorophenols",,,H12,Ecotoxic,94.31,,US,D10,
,"Y44 ,Y39 ,Y5","Any congenor of polychlorinated dibenzo-p-dioxin; Phenols, phenol compounds, including chlorophenols; Wastes from the manufacture and use of wood-preserving chemicals",,,H12,Ecotoxic,102.63,,US,D10,
,"Y4 ,Y5","Wastes from the production, formulation, and use of biocides and phytopharmaceuticals; Wastes from the manufacture and use of wood-preserving chemicals",,6.1,H6.1,Toxic (Poisonous),28.711,,US,D13,
,Y5,Wastes from the manufacture and use of wood-preserving chemicals,,6.1,H6.1,Toxic (Poisonous),73.293,,US,D13,
,Y9,Waste oil;  water,,,H12,Ecotoxic,0.05,,US,D13,
,"Y13 ,Y42","Wastes from production, formulation, and use of resins, latex, plasticizers, and glues ,adhesives; Organic solvents",,6.1,H6.1,Toxic (Poisonous),89.647,,US,D13,
,Y18,Residues arising from industrial waste-disposal operations,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,0.007,,US,D13,
,Y18,Residues arising from industrial waste-disposal operations,,6.1,"H6.1 ,H03.0",Toxic (Poisonous); Flammable Liquids,0.287,,US,D13,
,Y18,Residues arising from industrial waste-disposal operations,,5.1,"H05.1 ,H6.1",Oxidizing; Toxic (Poisonous),1.794,,US,D13,
,Y18,Residues arising from industrial waste-disposal operations,,6.1,H6.1,Toxic (Poisonous),1.908,,US,D13,
,Y18,Residues arising from industrial waste-disposal operations,,5.1,"H05.1 ,H6.1",Oxidizing; Toxic (Poisonous),2.448,,US,D13,
,Y18,Residues arising from industrial waste-disposal operations,,5.1,H05.1,Oxidizing,11.128,,US,D13,
,Y18,Residues arising from industrial waste-disposal operations,,3.0,"H03.0 ,H6.1",Flammable Liquids; Toxic (Poisonous),26.367,,US,D13,
,Y18,Residues arising from industrial waste-disposal operations,,5.1,"H05.1 ,H8",Oxidizing; Corrosive,46.065580000000004,,US,D13,
,"Y18 ,Y23",Residues arising from industrial waste-disposal operations; Zinc,,4.1,H04.1,Flammable solids,2.612,,US,D13,
,"Y25 ,Y26 ,Y31",Selenium; Cadmium; Lead,,6.1,H6.1,Toxic (Poisonous),2.518,,US,D13,
,"Y25 ,Y31",Selenium; Lead,,6.1,H6.1,Toxic (Poisonous),4.878,,US,D13,
,"Y26 ,Y31",Cadmium; Lead,,4.3,H04.3,Flammable Gases in contact with water,0.136,,US,D13,
,"Y26 ,Y31",Cadmium; Lead,,6.1,H6.1,Toxic (Poisonous),0.654,,US,D13,
,"Y26 ,Y31",Cadmium; Lead,,4.3,H04.3,Flammable Gases in contact with water,6.724,,US,D13,
,Y29,Mercury,,8.0,H8,Corrosive,15.048,,US,D13,
,Y31,Lead,,6.1,"H6.1 ,H8",Toxic (Poisonous); Corrosive,0.135,,US,D13,
,Y31,Lead,,,H13,Leachate,8.215,,US,D13,
,Y31,Lead,,,H12,Ecotoxic,87.779,,US,D13,
,"Y31 ,Y26",Lead; Cadmium,,6.1,H6.1,Toxic (Poisonous),1.347,,US,D13,
,"Y31 ,Y26 ,Y21",Lead; Cadmium; Hexavalent chromium compounds,,,H13,Leachate,40.856,,US,D13,
,"Y31 ,Y35",Lead; Basic solutions (or solids),,8.0,H8,Corrosive,1.75,,US,D13,
,"Y31 ,Y41 ,Y42",Lead; Halogenated organic solvents; Organic solvents,,6.1,"H6.1 ,H03.0",Toxic (Poisonous); Flammable Liquids,0.233,,US,D13,
,"Y31 ,Y45",Lead; Organohalogen Coumpount,,6.1,"H6.1 ,H03.0",Toxic (Poisonous); Flammable Liquids,35.94,,US,D13,
,Y33,Inorganic cyanides,,6.1,H6.1,Toxic (Poisonous),0.076,,US,D13,
,"Y33 ,Y38",Inorganic cyanides; Organic cyanides,,6.1,H6.1,Toxic (Poisonous),0.197,,US,D13,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,0.138,,US,D13,
,Y34,Acidic solutions (or solids),,3.0,"H03.0 ,H6.1",Flammable Liquids; Toxic (Poisonous),4.684,,US,D13,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,6.087,,US,D13,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,14.916,,US,D13,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,17.838,,US,D13,
,Y34,Acidic solutions (or solids),,5.1,H05.1,Oxidizing,28.35808,,US,D13,
,Y34,Acidic solutions (or solids),,5.1,H05.1,Oxidizing,34.779,,US,D13,
,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,50.58,,US,D13,
,Y34,Acidic solutions (or solids),,8.0,"H8 ,H03.0",Corrosive; Flammable Liquids,65.684,,US,D13,
,"Y34 ,Y32",Acidic solutions (or solids); Inorganic fluorine compounds,,8.0,H8,Corrosive,67.066,,US,D13,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.192,,US,D13,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.867,,US,D13,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,0.956,,US,D13,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,1.762,,US,D13,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,11.037,,US,D13,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,19.407,,US,D13,
,Y35,Basic solutions (or solids),,8.0,"H8 ,H6.1",Corrosive; Toxic (Poisonous),22.5935,,US,D13,
,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,26.03,,US,D13,
,"Y35 ,Y42 ,Y12","Basic solutions (or solids); Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",,8.0,H8,Corrosive,1.34,,US,D13,
,"Y35 ,Y45",Basic solutions (or solids); Organohalogen Coumpount,,8.0,H8,Corrosive,4.32,,US,D13,
,"Y35 ,Y45",Basic solutions (or solids); Organohalogen Coumpount,,8.0,"H8 ,H03.0",Corrosive; Flammable Liquids,4.408,,US,D13,
,Y37,Organic phosphorous compounds,,4.1,"H04.1 ,H6.1",Flammable solids; Toxic (Poisonous),4.421,,US,D13,
,"Y37 ,Y38 ,Y39","Organic phosphorous compounds; Organic cyanides; Phenols, phenol compounds, including chlorophenols",,6.1,H6.1,Toxic (Poisonous),1.208,,US,D13,
,"Y37 ,Y45 ,Y4","Organic phosphorous compounds; Organohalogen Coumpount; Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",,6.1,"H6.1 ,H03.0",Toxic (Poisonous); Flammable Liquids,11.458,,US,D13,
,Y39,"Phenols, phenol compounds, including chlorophenols",,6.1,"H6.1 ,H8",Toxic (Poisonous); Corrosive,0.947,,US,D13,
,Y39,"Phenols, phenol compounds, including chlorophenols",,4.1,H04.1,Flammable solids,14.248,,US,D13,
,"Y39 ,Y44","Phenols, phenol compounds, including chlorophenols; Any congenor of polychlorinated dibenzo-p-dioxin",,6.1,H6.1,Toxic (Poisonous),7.975,,US,D13,
,Y41,Halogenated organic solvents,,3.0,"H03.0 ,H6.1",Flammable Liquids; Toxic (Poisonous),1.109,,US,D13,
